,subjectID,Behavior20,Behavior21,Behavior22,Behavior23,Behavior24,Behavior25,Behavior26,Behavior27,Behavior28,Behavior29,Behavior30,Behavior31,Behavior32,Behavior33,Behavior34,Behavior35,Behavior64,Fear_of_everyday_situations441,Fear_of_everyday_situations445,Fear_of_everyday_situations447,Fear_of_everyday_situations449,Fear_of_everyday_situations453,Fear_of_everyday_situations454,Fear_of_everyday_situations462,Risk_perception1,Risk_perception10,Risk_perception110,Risk_perception111,Risk_perception112,Risk_perception113,Risk_perception114,Risk_perception115,Risk_perception116,Risk_perception2,Risk_perception3,Risk_perception4,Risk_perception5,Risk_perception6,Risk_perception7,Risk_perception8,Risk_perception9
0,sub0509,79.0,57.0,7.0,0.0,0.0,10.0,21.0,0.0,12.0,100.0,80.0,100.0,98.0,75.0,77.0,75.0,79.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,68,78.0,76.0,85.0,81.0,87.0,55.0,77.0,23.0,7,14,70,60,70.0,78.0,75.0,100.0
1,sub0071,0.0,0.0,0.0,0.0,1.0,14.0,21.0,34.0,16.0,73.0,67.0,9.0,17.0,10.0,69.0,21.0,23.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,29,70.0,23.0,55.0,58.0,60.0,70.0,35.0,19.0,49,65,61,37,49.0,50.0,60.0,52.0
2,sub0201,14.0,0.0,0.0,0.0,0.0,65.0,69.0,26.0,75.0,82.0,86.0,100.0,69.0,0.0,100.0,100.0,100.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,17,100.0,100.0,100.0,100.0,100.0,100.0,85.0,14.0,100,81,72,22,45.0,61.0,87.0,3.0
3,sub0225,37.0,0.0,0.0,0.0,0.0,21.0,77.0,49.0,49.0,76.0,88.0,100.0,67.0,24.0,18.0,14.0,100.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,25,36.0,62.0,54.0,62.0,40.0,56.0,58.0,40.0,37,69,48,56,59.0,66.0,81.0,53.0
4,sub0185,0.0,0.0,0.0,0.0,0.0,18.0,94.0,57.0,74.0,61.0,77.0,99.0,61.0,83.0,84.0,84.0,88.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,87,97.0,99.0,99.0,78.0,91.0,100.0,58.0,1.0,93,65,69,86,81.0,83.0,81.0,50.0
5,sub0367,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,1.0,94.0,78.0,64.0,74.0,32.0,89.0,87.0,87.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,32,40.0,35.0,71.0,25.0,40.0,36.0,86.0,91.0,52,15,14,22,15.0,26.0,15.0,29.0
6,sub0499,8.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,6.0,100.0,99.0,89.0,86.0,4.0,69.0,100.0,96.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,42,100.0,21.0,96.0,91.0,68.0,94.0,93.0,18.0,53,72,77,56,52.0,58.0,64.0,98.0
7,sub0236,0.0,0.0,0.0,0.0,0.0,36.0,91.0,50.0,62.0,64.0,87.0,92.0,83.0,68.0,63.0,59.0,81.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,61,63.0,56.0,86.0,91.0,77.0,68.0,36.0,25.0,75,93,98,69,53.0,45.0,37.0,42.0
8,sub0346,40.0,14.0,0.0,0.0,0.0,0.0,7.0,62.0,51.0,63.0,50.0,62.0,50.0,33.0,25.0,49.0,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,39,51.0,28.0,49.0,50.0,50.0,51.0,54.0,30.0,40,53,51,39,49.0,50.0,61.0,55.0
9,sub0644,0.0,0.0,0.0,0.0,0.0,29.0,76.0,0.0,0.0,50.0,84.0,28.0,52.0,21.0,75.0,46.0,69.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,37,59.0,32.0,82.0,36.0,46.0,49.0,88.0,46.0,70,55,32,45,43.0,40.0,40.0,48.0
